Y,X,state,Lat,Lon
35288901,-101575034,Texas - 1,35.289,-101.575
3917949,-85896024,Indiana - 1,39.179,-85.896
38889302,-82100506,West Virginia,38.889,-82.101
39387012,-84564907,Ohio - 1,39.387,-84.565
37790226,-77431501,Virginia - 1,37.790,-77.432
32495963,-91636214,Louisiana,32.496,-91.636
39287199,-112463972,Utah,39.287,-112.464
30962462,-102845272,Texas - 2,30.962,-102.845
3499344,-90034117,Mississippi,34.993,-90.034
4171548,-88465393,Illinois - 1,41.715,-88.465
33428337,-112725673,Arizona,33.428,-112.726
41459219,-88060298,Illinois - 2,41.459,-88.060
41035558,-104801437,Wyoming,41.036,-104.801
4005758,-86540225,Indiana - 2,40.058,-86.540
32631364,-100539364,Texas  - 3,32.631,-100.539
32542862,-99546511,Texas  - 4 ,32.543,-99.547
390099,-77463252,Virginia - 2,39.010,-77.463
32505085,-99779704,Texas - 5,32.505,-99.780
41030754,-85053443,Indiana - 3,41.031,-85.053
41739181,-87534538,Illinois - 3,41.739,-87.535
35018366,-101308974,Texas - 6,35.018,-101.309
3199482,-106363367,Texas - 7,31.995,-106.363
41728513,-86120488,Indiana - 3,41.729,-86.120
42228252,-83437076,Michigan,42.228,-83.437
31967609,-96513711,Texas - 8,31.968,-96.514
41680829,-93534547,Iowa,41.681,-93.535
39912807,-83723718,Ohio - 2,39.913,-83.724
329363,-8382183,Georgia - 1,32.936,-83.822
38013642,-77495813,Virginia - 3,38.014,-77.496
32492279,-99782282,Texas - 9,32.492,-99.782
37713705,-7761179,Virginia - 4 ,37.714,-77.612
39539214,-119493869,Nevada,39.539,-119.494
40136563,-82718944,Ohio - 3,40.137,-82.719
33774444,-100869076,Texas - 10,33.774,-100.869
3910259,-94306323,Missouri,39.103,-94.306
38219361,-77476669,Virginia - 5,38.219,-77.477
39909274,-82550586,Ohio - 4,39.909,-82.551
34388929,-100046262,Texas - 11,34.389,-100.046
48146227,-103774395,North Dakota,48.146,-103.774
30574396,-97080704,Texas - 12,30.574,-97.081
31828629,-96778642,Texas - 13,31.829,-96.779
29415791,-9879675,Texas - 14,29.416,-98.797
3366741,-116134729,California - 1,33.667,-116.135
39551462,-89896896,Illinois - 4,39.551,-89.897
32929772,-100217068,Texas - 15,32.930,-100.217
30571253,-96259596,Texas - 16,30.571,-96.260
39132337,-94880339,Kansas,39.132,-94.880
39703005,-80849409,Ohio - 5,39.703,-80.849
30566119,-97071239,Texas - 17,30.566,-97.071
33872814,-101840221,Texas - 18,33.873,-101.840
41583559,-8669592,Indiana - 4,41.584,-86.696
3437504,-85044477,Georgia - 2,34.375,-85.044
33172897,-11552351,California - 2,33.173,-115.524
33172883,-115531097,California - 3,33.173,-115.531
32398365,-100915261,Texas - 19,32.398,-100.915
31464147,-99556221,Texas - 20,31.464,-99.556
35777147,-80975634,North Carolina,35.777,-80.976
40897178,-84552378,Ohio - 6,40.897,-84.552
43358918,-78604177,New York,43.359,-78.604
33448499,-8452256,Georgia - 3,33.448,-84.523
